year,month,week,day,building,average_timespent
2020,10,43,23,alaart,293.72634454529543
2020,10,43,23,mbk,5214.810674334494
2020,10,43,23,tokyu,376.1832049018558
2020,10,43,23,tower,5660.057937584796
2020,10,43,24,alaart,289.3565408774666
2020,10,43,24,mbk,5201.715813852152
2020,10,43,24,tokyu,144.98054320874144
2020,10,43,24,tower,2683.564829749106
2020,10,43,25,alaart,255.33915684172825
2020,10,43,25,mbk,5448.351028753226
2020,10,43,25,tokyu,130.30296376732804
2020,10,43,25,tower,1916.8350118837952
2020,10,44,26,alaart,278.41486282804544
2020,10,44,26,mbk,5985.292366741625
2020,10,44,26,tokyu,231.77756094853612
2020,10,44,26,tower,3198.959022757397
2020,10,44,27,alaart,313.1203377572201
2020,10,44,27,mbk,5960.21047837651
2020,10,44,27,tokyu,99.49829818263242
2020,10,44,27,tower,3148.969728704382
2020,10,44,28,alaart,361.8328151279711
2020,10,44,28,mbk,6033.41711887706
2020,10,44,28,tokyu,398.82861843585124
2020,10,44,28,tower,3571.173364651626
2020,10,44,29,alaart,449.7241091595133
2020,10,44,29,mbk,5484.632471354402
2020,10,44,29,tokyu,334.67796181737504
2020,10,44,29,tower,3665.7151927740233
2020,10,44,30,alaart,430.1950990305122
2020,10,44,30,mbk,5339.934097379752
2020,10,44,30,tokyu,412.99195285819223
2020,10,44,30,tower,2355.667729236553
2020,10,44,31,alaart,292.52897158290943
2020,10,44,31,mbk,4168.874901108757
2020,10,44,31,tokyu,99.36796119562496
2020,10,44,31,tower,4923.0742446679615
