year,month,week,day,building,entrance,exit
2020,10,43,23,alaart,2564,2533
2020,10,43,23,mbk,31056,31601
2020,10,43,23,tokyu,9684,9835
2020,10,43,23,tower,165,134
2020,10,43,24,alaart,2979,2920
2020,10,43,24,mbk,30845,30430
2020,10,43,24,tokyu,9783,9667
2020,10,43,24,tower,155,144
2020,10,43,25,alaart,2520,2488
2020,10,43,25,mbk,27287,27309
2020,10,43,25,tokyu,8723,8713
2020,10,43,25,tower,251,233
2020,10,44,26,alaart,2553,2500
2020,10,44,26,mbk,29636,29221
2020,10,44,26,tokyu,9689,9539
2020,10,44,26,tower,2215,2073
2020,10,44,27,alaart,2877,2848
2020,10,44,27,mbk,31560,31115
2020,10,44,27,tokyu,9582,9561
2020,10,44,27,tower,2290,2210
2020,10,44,28,alaart,3317,3265
2020,10,44,28,mbk,33668,33523
2020,10,44,28,tokyu,10796,10685
2020,10,44,28,tower,2360,2319
2020,10,44,29,alaart,2948,2943
2020,10,44,29,mbk,32607,32772
2020,10,44,29,tokyu,11220,11196
2020,10,44,29,tower,2320,2261
2020,10,44,30,alaart,3655,3680
2020,10,44,30,mbk,37734,37645
2020,10,44,30,tokyu,12622,12428
2020,10,44,30,tower,2326,2272
2020,10,44,31,alaart,4363,4310
2020,10,44,31,mbk,43596,43844
2020,10,44,31,tokyu,16364,16318
2020,10,44,31,tower,319,326
