year,month,week,day,building,net_shopping_hour
2020,10,43,23,alaart,206.66911964812036
2020,10,43,23,mbk,45775.89781101232
2020,10,43,23,tokyu,1027.711616724931
2020,10,43,23,tower,210.67993434343407
2020,10,43,24,alaart,234.70030537838957
2020,10,43,24,mbk,43968.947837644715
2020,10,43,24,tokyu,389.31303088858436
2020,10,43,24,tower,107.34259318996425
2020,10,43,25,alaart,176.46772839506107
2020,10,43,25,mbk,41330.282845617185
2020,10,43,25,tokyu,315.369367584647
2020,10,43,25,tower,124.06182160247896
2020,10,44,26,alaart,193.3436547416982
2020,10,44,26,mbk,48582.28562459918
2020,10,44,26,tokyu,614.1461538578017
2020,10,44,26,tower,1842.0672372711347
2020,10,44,27,alaart,247.71297831460078
2020,10,44,27,mbk,51514.43028741253
2020,10,44,27,tokyu,264.2508969233746
2020,10,44,27,tower,1933.1175278990788
2020,10,44,28,alaart,328.1622614980071
2020,10,44,28,mbk,56182.845021143235
2020,10,44,28,tokyu,1183.745496663075
2020,10,44,28,tower,2300.4308423964226
2020,10,44,29,alaart,367.64945923790214
2020,10,44,29,mbk,49928.4375975629
2020,10,44,29,tokyu,1040.8484612520363
2020,10,44,29,tower,2302.2727919061294
2020,10,44,30,alaart,439.7549901200791
2020,10,44,30,mbk,55839.394193294655
2020,10,44,30,tokyu,1425.7399972560038
2020,10,44,30,tower,1486.6880780070687
2020,10,44,31,alaart,350.2221854228721
2020,10,44,31,mbk,50772.2642122812
2020,10,44,31,tokyu,450.41288633061333
2020,10,44,31,tower,445.81172326715426
